id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
ak_01_011	स्वर्गवर्गः 6		विद्याधराप्सरोयक्षरक्षोगन्धर्वकिंनराः । पिशाचो गुह्यकः सिद्धो भूतोऽमी देवयोनयः ॥११॥	विद्याधराप्सरोयक्षरक्षोगन्धर्वकिंनराः ।		पिशाचो गुह्यकः सिद्धो भूतोऽमी देवयोनयः ॥११॥						TRUE	TRUE	TRUE			
ak_01_012	स्वर्गवर्गः 7		असुरा दैत्यदैतेयदनुजेन्द्रारिदानवाः । शुक्रशिष्या दितिसुताः पूर्वदेवाः सुरद्विषः ॥१२॥	असुरा दैत्यदैतेयदनुजेन्द्रारिदानवाः ।		शुक्रशिष्या दितिसुताः पूर्वदेवाः सुरद्विषः ॥१२॥						TRUE	TRUE	TRUE			
ak_01_013	स्वर्गवर्गः 8		सर्वज्ञः सुगतः बुद्धो धर्मराजस्तथागतः । समन्तभद्रो भगवान्मारजिल्लोकजिज्जिनः ॥१३॥	सर्वज्ञः सुगतः बुद्धो धर्मराजस्तथागतः ।		समन्तभद्रो भगवान्मारजिल्लोकजिज्जिनः ॥१३॥						TRUE	TRUE	TRUE			
ak_01_014	स्वर्गवर्गः 9		षडभिज्ञो दशबलोऽद्वयवादी विनायकः । मुनीन्द्रः श्रीघनः शास्ता मुनिः शाक्यमुनिस्तु यः ॥१४॥	षडभिज्ञो दशबलोऽद्वयवादी विनायकः ।		मुनीन्द्रः श्रीघनः शास्ता मुनिः शाक्यमुनिस्तु यः ॥१४॥						TRUE	TRUE	TRUE			
ak_01_015	स्वर्गवर्गः 10		स शाक्यसिंहः सर्वार्थसिद्धः शौद्धोदनिश्च सः । गौतमश्चार्कबन्धुश्च मायादेवीसुतश्च सः ॥१५॥	स शाक्यसिंहः सर्वार्थसिद्धः शौद्धोदनिश्च सः ।		गौतमश्चार्कबन्धुश्च मायादेवीसुतश्च सः ॥१५॥						TRUE	TRUE	TRUE			
ak_01_016	स्वर्गवर्गः 11		ब्रह्मात्मभूः सुरज्येष्ठः परमेष्ठी पितामहः । हिरण्यगर्भो लोकेशः स्वयंभूश्चतुराननः ॥१६॥	ब्रह्मात्मभूः सुरज्येष्ठः परमेष्ठी पितामहः ।		हिरण्यगर्भो लोकेशः स्वयंभूश्चतुराननः ॥१६॥						TRUE	TRUE	TRUE			
ak_01_017	स्वर्गवर्गः 12		धाताब्जयोनिर्द्रुहिणो विरिञ्चिः कमलासनः । स्रष्टा प्रजापतिर्वेधा विधाता विश्वसृग्विधिः ॥१७॥	धाताब्जयोनिर्द्रुहिणो विरिञ्चिः कमलासनः ।		स्रष्टा प्रजापतिर्वेधा विधाता विश्वसृग्विधिः ॥१७॥						TRUE	TRUE	TRUE			
ak_01_018	स्वर्गवर्गः 13		नाभिजन्माण्डजः पूर्वो निधनः कमलोद्भवः । सदानन्दो रजोमूर्तिः सत्यको हंसवाहनः ॥१८॥	नाभिजन्माण्डजः पूर्वो निधनः कमलोद्भवः ।		सदानन्दो रजोमूर्तिः सत्यको हंसवाहनः ॥१८॥						TRUE	TRUE	TRUE			
ak_01_019	स्वर्गवर्गः 14		विष्णुर्नारायणः कृष्णो वैकुण्ठो विष्टरश्रवाः । दामोदरो हृषीकेशः केशवो माधवः स्वभूः ॥१९॥	विष्णुर्नारायणः कृष्णो वैकुण्ठो विष्टरश्रवाः ।		दामोदरो हृषीकेशः केशवो माधवः स्वभूः ॥१९॥						TRUE	TRUE	TRUE			
ak_01_020	स्वर्गवर्गः 15		दैत्यारिः पुण्डरीकाक्षो गोविन्दो गरुडध्वजः । पीताम्बरोऽच्युतः शार्ङ्गी विष्वक्सेनो जनार्दनः ॥२०॥	दैत्यारिः पुण्डरीकाक्षो गोविन्दो गरुडध्वजः ।		पीताम्बरोऽच्युतः शार्ङ्गी विष्वक्सेनो जनार्दनः ॥२०॥						TRUE	TRUE	TRUE			
ak_01_021	स्वर्गवर्गः 16		उपेन्द्र इन्द्रावरजश्चक्रपाणिश्चतुर्भुजः । पद्मनाभो मधुरिपुर्वासुदेवस्त्रिविक्रमः ॥२१॥	उपेन्द्र इन्द्रावरजश्चक्रपाणिश्चतुर्भुजः ।		पद्मनाभो मधुरिपुर्वासुदेवस्त्रिविक्रमः ॥२१॥						TRUE	TRUE	TRUE			
ak_01_022	स्वर्गवर्गः 17		देवकीनन्दनः शौरिः श्रीपतिः पुरुषोत्तमः । वनमाली बलिध्वंसी कंसारातिरधोक्षजः ॥२२॥	देवकीनन्दनः शौरिः श्रीपतिः पुरुषोत्तमः ।		वनमाली बलिध्वंसी कंसारातिरधोक्षजः ॥२२॥						TRUE	TRUE	TRUE			
ak_01_023	स्वर्गवर्गः 18		विश्वम्भरः कैटभजिद्विधुः श्रीवत्सलाञ्छनः । पुराणपुरुषो यज्ञपुरुषो नरकान्तकः ॥२३॥	विश्वम्भरः कैटभजिद्विधुः श्रीवत्सलाञ्छनः ।		पुराणपुरुषो यज्ञपुरुषो नरकान्तकः ॥२३॥						TRUE	TRUE	TRUE			
ak_01_024	स्वर्गवर्गः 19		जलशायी विश्वरूपो मुकुन्दो मुरमर्दनः । वसुदेवोऽस्य जनकः स एवानकदुन्दुभिः ॥२४॥	जलशायी विश्वरूपो मुकुन्दो मुरमर्दनः ।		वसुदेवोऽस्य जनकः स एवानकदुन्दुभिः ॥२४॥						TRUE	TRUE	TRUE			
ak_01_025	स्वर्गवर्गः 20		बलभद्रः प्रलम्बघ्नो बलदेवोऽच्युताग्रजः । रेवतीरमणो रामः कामपालो हलायुधः ॥२५॥	बलभद्रः प्रलम्बघ्नो बलदेवोऽच्युताग्रजः ।		रेवतीरमणो रामः कामपालो हलायुधः ॥२५॥						TRUE	TRUE	TRUE			
ak_01_026	स्वर्गवर्गः 21		नीलाम्बरो रौहिणेयस्तालाङ्को मुसली हली । संकर्षणः सीरपाणिः कालिन्दीभेदनो बलः ॥२६॥	नीलाम्बरो रौहिणेयस्तालाङ्को मुसली हली ।		संकर्षणः सीरपाणिः कालिन्दीभेदनो बलः ॥२६॥						TRUE	TRUE	TRUE			
ak_01_027	स्वर्गवर्गः 22		मदनो मन्मथो मारः प्रद्युम्नो मीनकेतनः । कंदर्पो दर्पकोऽनङ्गः कामः पञ्चशरः स्मरः ॥२७॥	मदनो मन्मथो मारः प्रद्युम्नो मीनकेतनः ।		कंदर्पो दर्पकोऽनङ्गः कामः पञ्चशरः स्मरः ॥२७॥						TRUE	TRUE	TRUE			
ak_01_028	स्वर्गवर्गः 23		शम्बरारिर्मनसिजः कुसुमेषुरनन्यजः । पुष्पधन्वा रतिपतिर्मकरध्वज आत्मभूः ॥२८॥	शम्बरारिर्मनसिजः कुसुमेषुरनन्यजः ।		पुष्पधन्वा रतिपतिर्मकरध्वज आत्मभूः ॥२८॥						TRUE	TRUE	TRUE			
ak_01_029	स्वर्गवर्गः 24		अरविन्दमशोकं च चूतं च नवमल्लिका । नीलोत्पलं च पञ्चैते पञ्चबाणस्य सायकाः ॥२९॥	अरविन्दमशोकं च चूतं च नवमल्लिका ।		नीलोत्पलं च पञ्चैते पञ्चबाणस्य सायकाः ॥२९॥						TRUE	TRUE	TRUE			
ak_01_030	स्वर्गवर्गः 25		उन्मादनस्तापनश्च शोषणः स्तम्भनस्तथा । संमोहनश्च कामश्च पञ्च बाणाः प्रकीर्तिताः ॥३०॥	उन्मादनस्तापनश्च शोषणः स्तम्भनस्तथा ।		संमोहनश्च कामश्च पञ्च बाणाः प्रकीर्तिताः ॥३०॥						TRUE	TRUE	TRUE			
ak_01_031	स्वर्गवर्गः 26		ब्रह्मसूर्विश्वकेतुः स्यादनिरुद्ध उषापतिः । लक्ष्मीः पद्मालया पद्मा कमला श्रीर्हरिप्रिया ॥३१॥	ब्रह्मसूर्विश्वकेतुः स्यादनिरुद्ध उषापतिः ।		लक्ष्मीः पद्मालया पद्मा कमला श्रीर्हरिप्रिया ॥३१॥						TRUE	TRUE	TRUE			
ak_01_032	स्वर्गवर्गः 27		इन्दिरा लोकमाता मा क्षीरोदतनया रमा । भार्गवी लोकजननी क्षीरसागरकन्यका ॥३२॥	इन्दिरा लोकमाता मा क्षीरोदतनया रमा ।		भार्गवी लोकजननी क्षीरसागरकन्यका ॥३२॥						TRUE	TRUE	TRUE			
ak_01_033	स्वर्गवर्गः 28		शङ्खो लक्ष्मीपतेः पाञ्चजन्यश्चक्रं सुदर्शनः । कौमोदकी गदा खड्गो नन्दकः कौस्तुभो मणिः ॥३३॥	शङ्खो लक्ष्मीपतेः पाञ्चजन्यश्चक्रं सुदर्शनः ।		कौमोदकी गदा खड्गो नन्दकः कौस्तुभो मणिः ॥३३॥						TRUE	TRUE	TRUE			
