id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
ak_01_050	स्वर्गवर्गः 45		श‍ृङ्गी भृङ्गी रिटिस्तुण्डी नन्दिको नन्दिकेश्वरः । इन्द्रो मरुत्वान्मघवा बिडौजाः पाकशासनः ॥५०॥	श‍ृङ्गी भृङ्गी रिटिस्तुण्डी नन्दिको नन्दिकेश्वरः ।		इन्द्रो मरुत्वान्मघवा बिडौजाः पाकशासनः ॥५०॥						TRUE	TRUE	TRUE			
ak_01_051	स्वर्गवर्गः 46		वृद्धश्रवाः सुनासीरः पुरुहूतः पुरन्दरः । जिष्णुर्लेखर्षभः शक्रः शतमन्युर्दिवस्पतिः ॥५१॥	वृद्धश्रवाः सुनासीरः पुरुहूतः पुरन्दरः ।		जिष्णुर्लेखर्षभः शक्रः शतमन्युर्दिवस्पतिः ॥५१॥						TRUE	TRUE	TRUE			
ak_01_052	स्वर्गवर्गः 47		सुत्रामा गोत्रभिद्वज्री वासवो वृत्रहा वृषा । वास्तोष्पतिः सुरपतिर्बलारातिः शचीपतिः ॥५२॥	सुत्रामा गोत्रभिद्वज्री वासवो वृत्रहा वृषा ।		वास्तोष्पतिः सुरपतिर्बलारातिः शचीपतिः ॥५२॥						TRUE	TRUE	TRUE			
ak_01_053	स्वर्गवर्गः 48		जम्भभेदी हरिहयः स्वाराण्नमुचिसूदनः । संक्रन्दनो दुश्च्यवनस्तुराषाण्मेघवाहनः ॥५३॥	जम्भभेदी हरिहयः स्वाराण्नमुचिसूदनः ।		संक्रन्दनो दुश्च्यवनस्तुराषाण्मेघवाहनः ॥५३॥						TRUE	TRUE	TRUE			
ak_01_054	स्वर्गवर्गः 49		आखण्डलः सहस्राक्ष ऋभुक्षास्तस्य तु प्रिया । पुलोमजा शचीन्द्राणी नगरी त्वमरावती ॥५४॥	आखण्डलः सहस्राक्ष ऋभुक्षास्तस्य तु प्रिया ।		पुलोमजा शचीन्द्राणी नगरी त्वमरावती ॥५४॥						TRUE	TRUE	TRUE			
ak_01_055	स्वर्गवर्गः 50		हय उच्चैःश्रवा सूतो मातलिर्नन्दनं वनम् । स्यात्प्रासादो वैजयन्तो जयन्तः पाकशासनिः ॥५५॥	हय उच्चैःश्रवा सूतो मातलिर्नन्दनं वनम् ।		स्यात्प्रासादो वैजयन्तो जयन्तः पाकशासनिः ॥५५॥						TRUE	TRUE	TRUE			
ak_01_056	स्वर्गवर्गः 51		ऐरावतोऽभ्रमातङ्गैरावणाऽभ्रमुवल्लभाः । ह्रादिनी वज्रमस्त्री स्यात् कुलिशं भिदुरं पविः ॥५६॥	ऐरावतोऽभ्रमातङ्गैरावणाऽभ्रमुवल्लभाः ।		ह्रादिनी वज्रमस्त्री स्यात् कुलिशं भिदुरं पविः ॥५६॥						TRUE	TRUE	TRUE			
ak_01_057	स्वर्गवर्गः 52		शतकोटिः स्वरुः शम्बो दम्भोलिरशनिर्द्वयोः । व्योमयानं विमानोऽस्त्री नारदाद्याः सुरर्षयः ॥५७॥	शतकोटिः स्वरुः शम्बो दम्भोलिरशनिर्द्वयोः ।		व्योमयानं विमानोऽस्त्री नारदाद्याः सुरर्षयः ॥५७॥						TRUE	TRUE	TRUE			
ak_01_058	स्वर्गवर्गः 53		स्यात् सुधर्मा देवसभा पीयूषममृतं सुधा । मन्दाकिनी वियद्गङ्गा स्वर्णदी सुरदीर्घिका ॥५८॥	स्यात् सुधर्मा देवसभा पीयूषममृतं सुधा ।		मन्दाकिनी वियद्गङ्गा स्वर्णदी सुरदीर्घिका ॥५८॥						TRUE	TRUE	TRUE			
ak_01_059	स्वर्गवर्गः 54		मेरुः सुमेरुर्हेमाद्री रत्नसानुः सुरालयः । पञ्चैते देवतरवो मन्दारः पारिजातकः ॥५९॥	मेरुः सुमेरुर्हेमाद्री रत्नसानुः सुरालयः ।		पञ्चैते देवतरवो मन्दारः पारिजातकः ॥५९॥						TRUE	TRUE	TRUE			
